,epoch,train_loss,val_loss
0,1,1649.520806312561,0.0
1,2,1261.7505464553833,0.0
2,3,1180.3285202980042,0.0
3,4,1108.6323523521423,0.0
4,5,1060.9679670333862,0.0
5,6,1023.9597148895264,0.0
6,7,993.2042293548584,0.0
7,8,957.7057962417603,0.0
8,9,933.8982105255127,0.0
9,10,913.6456727981567,921.7407846450806
10,11,891.564001083374,0.0
